Algoritmo,Acurácia,Precisão,Recall (Normal),Recall (Suspeito),AUC
Isolation Forest,0.7809309110197586,-0.21592869355619349,0.8651190126359095,0.0013605442176870747,0.4332397784267983
Local Outlier Factor,0.7762896167617027,-0.20178175277889476,0.8590949162503673,0.009523809523809525,0.4343093628870884
Elliptic Envelop,0.7748309242805994,-0.2251690757194006,0.8585071995298266,0.0,0.4292535997649133
One Class SVM,0.6495159793130885,0.4093186839320725,0.6118131060828681,0.998639455782313,0.8052262809325905
