Algoritmo,Acurácia,Precisão,Recall (Normal),Recall (Suspeito),AUC
One Class SVM,0.6407035175879398,0.3528919778132726,0.825503355704698,0.45652173913043476,0.6410125474175664
Elliptic Envelop,0.39028475711892796,-0.5754933460348266,0.7684563758389261,0.013377926421404682,0.3909171511301654
Isolation Forest,0.38860971524288107,-0.5770208712284874,0.7651006711409396,0.013377926421404682,0.38923929878117214
Local Outlier Factor,0.3785594639865997,-0.5773374709983786,0.7416107382550335,0.016722408026755852,0.3791665731408947
