Algoritmo,Acurácia,Precisão,Recall (Normal),Recall (Suspeito),AUC
Extra Trees,1.0,1.0,1.0,1.0,1.0
Random Forest,0.9875,0.9765109890109891,0.9782608695652174,1.0,0.9891304347826086
Ada Boost,0.975,0.9527777777777777,0.9565217391304348,1.0,0.9782608695652174
Bagging,0.975,0.9527777777777777,0.9565217391304348,1.0,0.9782608695652174
Gradient Boosting,0.975,0.9527777777777777,0.9565217391304348,1.0,0.9782608695652174
Decistion Tree,0.975,0.9527777777777777,0.9565217391304348,1.0,0.9782608695652174
KNN,0.975,0.9710629921259842,0.9782608695652174,0.9705882352941176,0.9744245524296675
