Algoritmo,Acurácia,Precisão,Recall (Normal),Recall (Suspeito),AUC
Isolation Forest,0.6310679611650486,-0.04750346740638001,1.0,0.19148936170212766,0.5957446808510638
Elliptic Envelop,0.6262135922330098,-0.06748010146068384,1.0,0.18085106382978725,0.5904255319148937
Local Outlier Factor,0.46116504854368934,-0.4640353076450907,0.8214285714285714,0.031914893617021274,0.42667173252279633
One Class SVM,0.4077669902912621,-0.12795600410034974,0.5982142857142857,0.18085106382978725,0.38953267477203646
