Algoritmo,Acurácia,Precisão,Recall (Normal),Recall (Suspeito),AUC
One Class SVM,0.55,-0.07765957446808502,0.9714285714285714,0.2222222222222222,0.5968253968253968
Elliptic Envelop,0.5375,-0.1606132075471698,1.0,0.17777777777777778,0.5888888888888889
Isolation Forest,0.5125,-0.2522058823529413,1.0,0.13333333333333333,0.5666666666666667
Local Outlier Factor,0.4,-0.451063829787234,0.8285714285714286,0.06666666666666667,0.44761904761904764
