Algoritmo,Acurácia,Precisão,Recall (Normal),Recall (Suspeito),AUC
One Class SVM,0.9862731640356898,0.9765210226052802,0.9766483516483516,0.9958847736625515,0.9862665626554515
Elliptic Envelop,0.4529855868222375,-0.40779837639493005,0.8434065934065934,0.06310013717421124,0.45325336529040233
Isolation Forest,0.39807824296499655,-0.5881474438585861,0.7912087912087912,0.0054869684499314125,0.3983478798293613
Local Outlier Factor,0.3843514070006863,-0.5978157271254909,0.7623626373626373,0.006858710562414266,0.3846106739625258
