Algoritmo,Acurácia,Precisão,Recall (Normal),Recall (Suspeito),AUC
Isolation Forest,0.7873026103770545,-0.18450739707030173,0.8650709219858156,0.012367491166077738,0.43871920657594665
Local Outlier Factor,0.7858524009023525,-0.17402127231424924,0.8629432624113476,0.0176678445229682,0.4403055534671579
Elliptic Envelop,0.7832742507251047,-0.21263345497798625,0.8617021276595744,0.0017667844522968198,0.43173445605593563
One Class SVM,0.7692555591363197,0.11775028983557478,0.8289007092198581,0.17491166077738515,0.5019061849986216
