Algoritmo,Acurácia,Precisão,AUC
Extra Trees,0.9958123953098827,0.9918091927478331,0.9960127591706539
Gradient Boosting,0.9958123953098827,0.9918091927478331,0.9960127591706539
Random Forest,0.9958123953098827,0.9918091927478331,0.9960127591706539
KNN,0.9958123953098827,0.9918091927478331,0.9960127591706539
Bagging,0.9949748743718593,0.9918542733169604,0.9951309249554863
Decistion Tree,0.9949748743718593,0.9918542733169604,0.9951309249554863
Ada Boost,0.9932998324958124,0.9929600056375967,0.993282870475853
