Algoritmo,Acurácia,Precisão,AUC
KNN,0.9993554624556881,0.9958711418981968,0.9965277777777778
Extra Trees,0.9985497905252981,0.9955097122634056,0.9960837280442076
Random Forest,0.9972607154366742,0.9949322492874169,0.9953732484704954
Bagging,0.9970995810505962,0.9948601378502868,0.9952844385237813
Decistion Tree,0.9967773122784402,0.9947159626460249,0.9951068186303533
Gradient Boosting,0.9927489526264905,0.9925787563541616,0.9928865699625025
Ada Boost,0.9864647115694489,0.9833492808010523,0.9839682627787645
